FirstName,LastName,Title_bucketed,DepartmentType,Attrition_Probability,Risk_Label,Primary_Risk_Factor,tenure_years_at_survey,days_since_training,Satisfaction Score
Reilly,Moyer,Area Sales Manager,Sales,0.0025,Normal,,2.379192334017796,6,3
Carlee,French,Area Sales Manager,Sales,0.01,Normal,Low Satisfaction,2.190280629705681,38,1
Jaydon,Blackburn,Area Sales Manager,Sales,0.0025,Normal,Training Failed,0.1971252566735113,128,5
Bridger,Carter,Area Sales Manager,Sales,0.025,Normal,,0.0,23,5
Leon,Beard,Area Sales Manager,IT/IS,0.0175,Normal,,0.5037645448323066,35,4
Charity,Miranda,Area Sales Manager,Sales,0.0075,Normal,Low Satisfaction,1.1197809719370295,0,1
Axel,Howe,Area Sales Manager,Sales,0.0,Normal,,0.06570841889117043,0,3
Milton,Wall,Area Sales Manager,Sales,0.01,Normal,Low Satisfaction,2.568104038329911,6,1
Alisa,James,Area Sales Manager,Sales,0.01,Normal,,2.7405886379192332,0,3
Aliana,Nolan,Area Sales Manager,Sales,0.0075,Normal,Mid-Tenure Risk,4.153319644079398,0,3
Kayden,Dodson,Area Sales Manager,Sales,0.0,Normal,,2.3846680355920604,20,3
James,Duke,Area Sales Manager,Sales,0.015,Normal,Mid-Tenure Risk,4.071184120465435,46,5
Willow,Stuart,Area Sales Manager,Sales,0.0175,Normal,,1.5249828884325805,0,4
Clayton,Walker,Area Sales Manager,IT/IS,0.005,Normal,,1.3086926762491444,240,3
Celia,Curtis,Area Sales Manager,Sales,0.0125,Normal,Mid-Tenure Risk,3.14031485284052,123,3
Valentin,Reilly,Area Sales Manager,Sales,0.02,Normal,"Mid-Tenure Risk, Low Satisfaction",3.4086242299794662,0,1
Jonathan,Adkins,Area Sales Manager,Sales,0.025,Normal,Mid-Tenure Risk,3.164955509924709,38,4
Nevaeh,Soto,Area Sales Manager,Sales,0.0125,Normal,,0.5256673511293635,164,5
Chaim,Mata,Area Sales Manager,Sales,0.01,Normal,Training Failed,0.0,204,4
Arely,Patton,Area Sales Manager,Sales,0.005,Normal,"Mid-Tenure Risk, Low Satisfaction",3.164955509924709,250,1
Vance,Trujillo,Area Sales Manager,Sales,0.0025,Normal,,1.3442847364818618,84,3
Charlie,Koch,Area Sales Manager,Sales,0.01,Normal,,0.0,105,5
Sonny,Horne,Area Sales Manager,IT/IS,0.015,Normal,"Mid-Tenure Risk, Training Failed, Low Satisfaction",3.6632443531827517,28,2
Thomas,Chandler,Area Sales Manager,Sales,0.005,Normal,Mid-Tenure Risk,4.199863107460644,55,4
Sarai,Stone,Area Sales Manager,Sales,0.015,Normal,,0.2546201232032854,0,4
Jaslene,Harding,Area Sales Manager,Sales,0.005,Normal,,1.0732375085557837,74,4
Albert,Gonzalez,Area Sales Manager,Sales,0.015,Normal,"Mid-Tenure Risk, Low Satisfaction",4.049281314168378,0,2
Jaiden,Johnson,Area Sales Manager,Sales,0.05,Normal,Low Satisfaction,1.5277207392197125,273,1
Brendon,Mcconnell,Area Sales Manager,Sales,0.0025,Normal,Low Satisfaction,0.0,0,1
Kimora,Parsons,Area Sales Manager,Sales,0.0075,Normal,,0.0,0,4
Willie,Patterson,Area Sales Manager,Sales,0.0125,Normal,,0.5010266940451745,172,5
Devyn,Powers,Area Sales Manager,Sales,0.005,Normal,,0.7501711156741958,0,4
Weston,Preston,Area Sales Manager,Sales,0.0,Normal,"Mid-Tenure Risk, Training Failed",3.6659822039698837,0,3
Lennon,Buchanan,Area Sales Manager,Sales,0.005,Normal,,1.620807665982204,0,4
Vicente,Merritt,Area Sales Manager,Sales,0.0025,Normal,Mid-Tenure Risk,3.132101300479124,129,5
Hugo,Clay,Area Sales Manager,Sales,0.005,Normal,"Mid-Tenure Risk, Low Satisfaction",3.7152635181382614,42,1
Cohen,Raymond,Area Sales Manager,Sales,0.01,Normal,Low Satisfaction,2.4914442162902124,0,2
Tia,Ellis,Area Sales Manager,Sales,0.0075,Normal,,0.0,0,3
Aspen,Bentley,Area Sales Manager,Sales,0.0075,Normal,,1.0650239561943875,0,3
Graham,Rodriguez,Area Sales Manager,Sales,0.0,Normal,,0.7775496235455168,0,3
Joel,Mcmillan,Area Sales Manager,Sales,0.0025,Normal,Training Failed,0.14784394250513347,20,3
Maci,Frost,Area Sales Manager,Sales,0.005,Normal,Mid-Tenure Risk,4.818617385352498,172,3
Nevaeh,Lucas,Area Sales Manager,Sales,0.0025,Normal,"Mid-Tenure Risk, Low Satisfaction",4.479123887748118,0,1
Eugene,Marks,Area Sales Manager,Sales,0.0,Normal,Mid-Tenure Risk,3.561943874058864,111,3
Geovanni,Pugh,Area Sales Manager,Sales,0.03,Normal,Low Satisfaction,1.0212183436002737,0,2
Javon,Kelley,Area Sales Manager,Sales,0.0075,Normal,,1.5249828884325805,0,4
Amaya,Hicks,Area Sales Manager,Sales,0.0025,Normal,Training Failed,2.198494182067077,58,3
Laila,Woodard,Area Sales Manager,Sales,0.0025,Normal,"Mid-Tenure Risk, Low Satisfaction",3.8329911019849416,37,2
Ivan,Huff,Area Sales Manager,Sales,0.0,Normal,,2.0917180013689256,0,5
Aidan,Harding,Area Sales Manager,Sales,0.0025,Normal,,1.7604380561259412,13,5
Cruz,Boyer,Area Sales Manager,Sales,0.0025,Normal,,1.6372347707049966,0,5
Raven,Koch,Area Sales Manager,Sales,0.0025,Normal,,2.529774127310062,0,4
Karli,Barker,Area Sales Manager,Sales,0.0025,Normal,,1.730321697467488,34,4
Alexus,Estes,Area Sales Manager,Sales,0.005,Normal,Low Satisfaction,2.3600273785078714,0,1
Deborah,Love,Area Sales Manager,Sales,0.01,Normal,,0.6078028747433265,0,3
Milagros,Francis,Area Sales Manager,Sales,0.0075,Normal,"Training Failed, Low Satisfaction",2.86652977412731,106,1
Roberto,Michael,Area Sales Manager,Sales,0.0,Normal,Low Satisfaction,2.088980150581793,0,2
Elaine,Ewing,Area Sales Manager,Sales,0.0,Normal,,1.4729637234770705,181,3
Caiden,Munoz,Area Sales Manager,Sales,0.0,Normal,Low Satisfaction,1.7604380561259412,6,1
Jocelyn,Bradford,Area Sales Manager,Sales,0.0075,Normal,Mid-Tenure Risk,3.561943874058864,0,3
Marques,Armstrong,Area Sales Manager,Sales,0.005,Normal,Mid-Tenure Risk,3.3648186173853527,70,5
Rohan,Chapman,Area Sales Manager,Sales,0.0025,Normal,Low Satisfaction,1.675564681724846,0,2
Darius,Krause,Area Sales Manager,Sales,0.0125,Normal,,0.36960985626283366,105,5
Ahmed,Hawkins,Area Sales Manager,Sales,0.0,Normal,Training Failed,2.8254620123203287,52,3
Kymani,Benjamin,Area Sales Manager,Sales,0.0025,Normal,Low Satisfaction,0.6187542778918549,86,2
Callum,Mcdaniel,Area Sales Manager,Sales,0.005,Normal,Mid-Tenure Risk,3.5290896646132786,314,3
Zariah,Black,Area Sales Manager,Sales,0.0025,Normal,"Mid-Tenure Risk, Low Satisfaction",3.0390143737166326,0,2
Ronnie,Mayer,Area Sales Manager,Sales,0.0,Normal,,0.0,86,4
Marlon,Ford,Area Sales Manager,IT/IS,0.005,Normal,"Training Failed, Low Satisfaction",0.9828884325804244,0,2
Slade,Griffith,Area Sales Manager,Sales,0.0025,Normal,,1.6043805612594113,0,5
Lee,Frye,Area Sales Manager,Sales,0.0225,Normal,Mid-Tenure Risk,4.5804243668720055,0,3
Veronica,Rowe,Area Sales Manager,Sales,0.0075,Normal,Mid-Tenure Risk,3.890485968514716,0,5
Aylin,Berg,Area Sales Manager,Sales,0.0075,Normal,Low Satisfaction,0.17522245037645448,0,2
Chaz,Bruce,Area Sales Manager,Sales,0.0,Normal,"Mid-Tenure Risk, Training Failed",3.164955509924709,0,3
Maya,Mccann,Area Sales Manager,Sales,0.0125,Normal,"Mid-Tenure Risk, Low Satisfaction",3.2854209445585214,242,2
Aaron,Weber,Area Sales Manager,Sales,0.005,Normal,,2.64476386036961,0,3
Ellie,Gill,Area Sales Manager,Sales,0.0025,Normal,Training Failed,0.0,57,3
Rayne,Kerr,Area Sales Manager,Sales,0.0025,Normal,,2.2532511978097194,0,5
Samara,Mcbride,Area Sales Manager,Sales,0.02,Normal,,0.0,0,5
Ryann,Rubio,Area Sales Manager,IT/IS,0.015,Normal,,1.2210814510609171,23,5
Paris,Carr,Area Sales Manager,Sales,0.0025,Normal,,1.7741273100616017,170,5
Adriel,Wiggins,Area Sales Manager,Sales,0.0025,Normal,Training Failed,0.9253935660506503,0,4
Sanaa,Glass,Area Sales Manager,Sales,0.0,Normal,,1.2375085557837098,51,5
Ryan,Lynch,Area Sales Manager,Sales,0.0075,Normal,"Mid-Tenure Risk, Training Failed",4.509240246406571,168,4
Emery,Roach,Area Sales Manager,Sales,0.0075,Normal,Mid-Tenure Risk,4.810403832991102,219,4
Harper,Ramos,Area Sales Manager,Sales,0.005,Normal,Training Failed,2.6584531143052703,0,4
Khalil,Mendez,Area Sales Manager,Sales,0.0,Normal,Low Satisfaction,2.7761806981519506,0,2
Lizeth,Holland,Area Sales Manager,Sales,0.005,Normal,"Mid-Tenure Risk, Low Satisfaction",4.186173853524983,2,1
Matilda,Randall,Area Sales Manager,Sales,0.0175,Normal,,0.019164955509924708,0,5
Damien,Howe,Area Sales Manager,Sales,0.01,Normal,"Mid-Tenure Risk, Low Satisfaction",3.898699520876112,120,2
Nicholas,Obrien,Area Sales Manager,Sales,0.01,Normal,"Mid-Tenure Risk, Training Failed",4.180698151950718,75,5
Mildred,Gentry,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.7645448323066395,0,5
Wilson K,Adinolfi,Production Technician I,Production       ,0.0325,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.14031485284052,27,2
Joanne,Handschiegl,Production Technician I,Production       ,0.0425,Normal,High Risk Role (Production),0.6078028747433265,0,4
Dianna,Blount,Production Technician Ii,Production       ,0.1275,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",0.0,74,1
Nore,Sadki,Production Technician I,Production       ,0.0775,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",4.082135523613963,0,1
Kramer,Keatts,Production Technician I,Production       ,0.175,Normal,High Risk Role (Production),1.0485968514715949,0,5
Maliki,Moumanil,Production Technician Ii,Production       ,0.055,Normal,"High Risk Role (Production), Training Failed, Low Satisfaction",1.3360711841204653,144,2
Nader,Barton,Production Technician I,Production       ,0.025,Normal,High Risk Role (Production),0.4188911704312115,56,3
Beatrice,Chace,Production Technician I,Production       ,0.1175,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.871321013004791,45,3
Timothy,Sullivan,Production Technician I,Production       ,0.055,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.7344284736481863,0,5
Jennifer,Medeiros,Production Technician I,Production       ,0.0175,Normal,"High Risk Role (Production), Low Satisfaction",2.811772758384668,86,1
Angela,Erilus,Production Technician Ii,Production       ,0.16,Normal,High Risk Role (Production),1.6700889801505818,49,3
Miguel,Estremera,Production Technician I,Production       ,0.0475,Normal,High Risk Role (Production),2.9130732375085557,0,4
Clinton,Owad,Production Technician I,Production       ,0.0425,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.4469541409993156,0,4
Constance,Sloan,Production Technician Ii,Production       ,0.07,Normal,"High Risk Role (Production), Training Failed",1.9356605065023955,0,3
Davion,Sanchez,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Training Failed",2.847364818617385,0,4
Ross,Strickland,Production Technician I,Production       ,0.2125,High Risk,High Risk Role (Production),1.7713894592744694,0,4
Augustus,Drake,Production Technician I,Production       ,0.035,Normal,"High Risk Role (Production), Low Satisfaction",2.078028747433265,8,2
Gracelyn,Huynh,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Low Satisfaction",2.184804928131417,109,1
Orlando,Armstrong,Production Technician I,Production       ,0.16,Normal,"High Risk Role (Production), Low Satisfaction",2.784394250513347,164,2
Edward,Everett,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Low Satisfaction",1.056810403832991,0,2
Jaqueline,Terrell,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.997262149212868,123,2
Quinn,Mccullough,Production Technician I,Production       ,0.025,Normal,"High Risk Role (Production), Low Satisfaction",2.0369609856262834,63,2
Selena,Greer,Production Technician I,Production       ,0.045,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.8740588637919235,48,2
Giovani,Roy,Production Technician I,Production       ,0.0425,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.40041067761807,0,3
Brayden,Malone,Production Technician I,Production       ,0.07,Normal,High Risk Role (Production),2.3545516769336072,0,4
Maribel,Morrison,Production Technician I,Production       ,0.065,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.117727583846681,0,5
Fisher,Stafford,Production Technician I,Production       ,0.0675,Normal,High Risk Role (Production),2.324435318275154,0,3
Kellen,Medina,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.2279260780287475,0,3
Elaine,Weeks,Production Technician Ii,Production       ,0.06,Normal,High Risk Role (Production),2.8856947296372346,0,4
Marely,Dixon,Production Technician Ii,Production       ,0.055,Normal,"High Risk Role (Production), Low Satisfaction",0.6707734428473648,245,1
Keagan,Henson,Production Technician Ii,Production       ,0.0625,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,1
Kane,Owen,Production Technician Ii,Production       ,0.26,High Risk,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.912388774811773,0,5
Emerson,Pitts,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.805612594113621,234,1
Frankie,Atkins,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.082135523613963,75,4
Ally,Zhang,Production Technician I,Production       ,0.1025,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.912388774811773,0,3
Kayleigh,Harmon,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Low Satisfaction",1.4264202600958247,43,2
Kayley,Myers,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.175222450376454,0,5
Rowan,Cobb,Production Technician I,Production       ,0.025,Normal,High Risk Role (Production),1.5222450376454484,0,3
Edward,Mann,Production Technician I,Production       ,0.0875,Normal,"High Risk Role (Production), Training Failed",1.4510609171800137,4,3
Amirah,Johnson,Production Technician I,Production       ,0.065,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.6331279945242985,5,5
Bridget,Deleon,Production Technician I,Production       ,0.0425,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.485284052019165,30,5
Ruben,Lewis,Production Technician I,Production       ,0.2075,High Risk,"High Risk Role (Production), Low Satisfaction",1.4729637234770705,186,1
Bailey,Collier,Production Technician I,Production       ,0.0525,Normal,High Risk Role (Production),0.06844626967830253,0,3
Charlee,Roth,Production Technician I,Production       ,0.0475,Normal,High Risk Role (Production),0.0,0,4
Karissa,Bowers,Production Technician I,Production       ,0.07,Normal,High Risk Role (Production),0.10403832991101986,171,5
Noel,Ramirez,Production Technician I,Production       ,0.0125,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,2
Victoria,Franco,Production Technician I,Production       ,0.06,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.566735112936345,0,3
Danika,Fleming,Production Technician Ii,Production       ,0.075,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.0444900752908968,76,1
Jocelyn,Kline,Production Technician Ii,Production       ,0.2275,High Risk,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.811088295687885,0,2
Cesar,Higgins,Production Technician Ii,Production       ,0.1975,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.0006844626967832,0,2
Raphael,Sandoval,Production Technician Ii,Production       ,0.05,Normal,"High Risk Role (Production), Training Failed",1.7796030116358659,152,5
Peyton,Barber,Production Technician Ii,Production       ,0.0725,Normal,High Risk Role (Production),2.6858316221765914,244,3
Stephanie,Briggs,Production Technician I,Production       ,0.08,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.652292950034223,25,3
Shaniya,Becker,Production Technician I,Production       ,0.0225,Normal,"High Risk Role (Production), Low Satisfaction",0.5092402464065708,0,1
Ryan,Oconnell,Production Technician I,Production       ,0.04,Normal,High Risk Role (Production),0.4271047227926078,0,4
Emma,Ware,Production Technician I,Production       ,0.04,Normal,High Risk Role (Production),0.6242299794661191,0,4
Keyon,Haley,Production Technician I,Production       ,0.07,Normal,High Risk Role (Production),0.0054757015742642025,283,5
Kylee,Bates,Production Technician I,Production       ,0.045,Normal,"High Risk Role (Production), Training Failed",1.946611909650924,0,5
Marc,Chandler,Production Technician I,Production       ,0.04,Normal,High Risk Role (Production),2.858316221765914,104,5
Abdullah,Pruitt,Production Technician I,Production       ,0.0375,Normal,"High Risk Role (Production), Low Satisfaction",1.0376454483230664,47,1
Shamar,Roth,Production Technician I,Production       ,0.1,Normal,High Risk Role (Production),0.0,134,5
Kale,House,Production Technician I,Production       ,0.0475,Normal,"High Risk Role (Production), Low Satisfaction",0.5448323066392882,175,1
Issac,Whitehead,Production Technician I,Production       ,0.0425,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.1704312114989732,83,5
Madisyn,Andrews,Production Technician I,Production       ,0.0825,Normal,High Risk Role (Production),0.405201916495551,0,4
Madyson,Rhodes,Production Technician I,Production       ,0.0625,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.8795345653661877,33,3
Brenton,Rodriguez,Production Technician Ii,Production       ,0.0625,Normal,"High Risk Role (Production), Training Failed",0.27104722792607805,8,4
Keyon,Hensley,Production Technician Ii,Production       ,0.09,Normal,High Risk Role (Production),0.5941136208076659,0,3
Elisha,Ruiz,Production Technician Ii,Production       ,0.08,Normal,"High Risk Role (Production), Low Satisfaction",0.07118412046543464,0,2
Jeremy,Meyer,Production Technician Ii,Production       ,0.1025,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.030800821355236,0,4
Cassius,Gates,Production Technician I,Production       ,0.0425,Normal,High Risk Role (Production),0.10951403148528405,0,4
Martha,Kemp,Production Technician I,Production       ,0.04,Normal,High Risk Role (Production),0.10677618069815195,91,5
Francesca,Mcmahon,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Training Failed",2.915811088295688,0,3
Lorelei,Walls,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Low Satisfaction",1.571526351813826,0,2
Emery,Gillespie,Production Technician I,Production       ,0.0425,Normal,High Risk Role (Production),0.7419575633127995,349,4
Kaylee,Baldwin,Production Technician I,Production       ,0.11,Normal,"High Risk Role (Production), Low Satisfaction",2.8993839835728954,0,1
Aron,Hester,Production Technician I,Production       ,0.055,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.268993839835729,0,2
Reagan,Brennan,Production Technician I,Production       ,0.045,Normal,"High Risk Role (Production), Low Satisfaction",1.3497604380561259,61,2
Hugh,Berry,Production Technician I,Production       ,0.1325,Normal,High Risk Role (Production),0.08487337440109514,55,5
Dalton,Bowen,Production Technician I,Production       ,0.1575,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.274469541409993,52,2
Davin,Peters,Production Technician I,Production       ,0.0325,Normal,"High Risk Role (Production), Low Satisfaction",0.9911019849418207,0,2
Leyla,Warren,Production Technician I,Production       ,0.0375,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,1
Victoria,Allen,Production Technician I,Production       ,0.0475,Normal,High Risk Role (Production),0.0,213,5
Sandra,Atkinson,Production Technician Ii,Production       ,0.075,Normal,"High Risk Role (Production), Low Satisfaction",0.013689253935660506,0,2
Rhett,Valenzuela,Production Technician Ii,Production       ,0.0575,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.8767967145790556,93,2
Mario,Mays,Production Technician Ii,Production       ,0.0825,Normal,High Risk Role (Production),2.9048596851471595,240,3
Leah,Robinson,Production Technician I,Production       ,0.1075,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.024640657084189,0,4
Dayami,Bailey,Production Technician I,Production       ,0.075,Normal,High Risk Role (Production),0.813141683778234,293,5
Ramon,Fleming,Production Technician I,Production       ,0.07,Normal,High Risk Role (Production),1.3305954825462012,75,4
Pedro,Harrison,Production Technician I,Production       ,0.1525,Normal,"High Risk Role (Production), Low Satisfaction",2.86652977412731,0,2
Harrison,Hudson,Production Technician I,Production       ,0.1475,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.0718685831622174,0,2
Taniya,Lane,Production Technician I,Production       ,0.115,Normal,"High Risk Role (Production), Low Satisfaction",0.7145790554414785,0,2
Rene,Wallace,Production Technician I,Production       ,0.0425,Normal,High Risk Role (Production),0.06023271731690623,286,3
Kai,Gaines,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Low Satisfaction",0.9774127310061602,0,1
Noelle,Levy,Production Technician I,Production       ,0.045,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.373032169746749,169,5
Kylie,Jimenez,Production Technician I,Production       ,0.2,Normal,High Risk Role (Production),0.38329911019849416,0,3
Bria,Mcpherson,Production Technician I,Production       ,0.0625,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.29637234770705,0,4
Rashad,Wells,Production Technician I,Production       ,0.0325,Normal,High Risk Role (Production),1.0869267624914443,0,4
Jaylene,Deleon,Production Technician I,Production       ,0.035,Normal,High Risk Role (Production),2.8199863107460645,58,3
Chace,Church,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Low Satisfaction",2.0369609856262834,0,1
Zayne,Hunter,Production Technician I,Production       ,0.0375,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.268993839835729,0,5
Amya,Vega,Production Technician Ii,Production       ,0.0725,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.887748117727584,75,1
Sonia,Skinner,Production Technician Ii,Production       ,0.0775,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.058179329226557,87,4
Julien,Banks,Production Technician Ii,Production       ,0.1125,Normal,High Risk Role (Production),0.0,26,5
Brenden,Nash,Production Technician I,Production       ,0.0575,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.2361396303901437,0,1
Genesis,Coleman,Production Technician I,Production       ,0.175,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.583846680355921,293,1
Justice,Branch,Production Technician I,Production       ,0.055,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",3.619438740588638,9,4
Addisyn,Guerrero,Production Technician I,Production       ,0.045,Normal,High Risk Role (Production),2.751540041067762,157,5
Addisyn,Aguilar,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.446269678302532,273,4
Marcos,Gallagher,Production Technician I,Production       ,0.03,Normal,"High Risk Role (Production), Low Satisfaction",2.5051334702258727,38,1
Mareli,Parker,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.813826146475017,40,1
Joshua,Mitchell,Production Technician I,Production       ,0.0325,Normal,"High Risk Role (Production), Low Satisfaction",0.28199863107460643,90,2
Case,Gaines,Production Technician I,Production       ,0.05,Normal,High Risk Role (Production),1.998631074606434,0,5
Jacey,Reyes,Production Technician I,Production       ,0.04,Normal,"High Risk Role (Production), Mid-Tenure Risk",4.254620123203286,31,5
Dean,Middleton,Production Technician I,Production       ,0.15,Normal,High Risk Role (Production),1.3333333333333333,0,5
Marlene,Bates,Production Technician I,Production       ,0.04,Normal,High Risk Role (Production),1.4099931553730323,56,3
Melanie,Kennedy,Production Technician I,Production       ,0.065,Normal,High Risk Role (Production),2.2751540041067764,0,4
Aleena,Mercer,Production Technician I,Production       ,0.1025,Normal,"High Risk Role (Production), Mid-Tenure Risk",3.5017111567419574,64,5
Jake,White,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Low Satisfaction",1.6837782340862424,129,1
Keshawn,Le,Production Technician Ii,Production       ,0.05,Normal,"High Risk Role (Production), Low Satisfaction",0.0,132,1
Cannon,Hester,Production Technician Ii,Production       ,0.075,Normal,"High Risk Role (Production), Low Satisfaction",0.35044490075290896,50,2
Crystal,Brandt,Production Technician Ii,Production       ,0.0775,Normal,"High Risk Role (Production), Mid-Tenure Risk, Low Satisfaction",3.978097193702943,234,1
Johnny,Goodman,Production Technician I,Production       ,0.0475,Normal,High Risk Role (Production),2.9869952087611225,47,4
Ryker,Cox,Production Technician I,Production       ,0.09,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed",4.1095140314852845,0,3
Averi,Stevenson,Production Technician I,Production       ,0.05,Normal,"High Risk Role (Production), Training Failed",2.217659137577002,0,4
Katherine,Russo,Production Technician I,Production       ,0.0975,Normal,"High Risk Role (Production), Low Satisfaction",1.1252566735112937,0,2
Aydan,Robbins,Production Technician I,Production       ,0.085,Normal,"High Risk Role (Production), Low Satisfaction",1.3169062286105406,0,1
Heaven,Walls,Production Technician I,Production       ,0.065,Normal,"High Risk Role (Production), Training Failed",0.27652292950034224,97,5
